SPLIT,,,,Directors,No of Movies,,,,
Mathieu Kassovitz,,,,,,,,,
François Truffaut,,,,,,,,,
Ingmar Bergman,,,,,,,,,
Terry Jones,,,,,,,,,
Cagan Irmak,,,,,,,,,
Akira Kurosawa,,,,,,,,,
Frank Capra,,,,,,,,,
Robert Wise,,,,,,,,,
Park Chan-wook,,,,,,,,,
T.J. Gnanavel,,,,,,,,,
Ron Clements,John Musker,,,,,,,,
Richard Attenborough,,,,,,,,,
Tate Taylor,,,,,,,,,
Gary Trousdale,Kirk Wise,,,,,,,,
